date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	turnover
2012/8/13	8.41	8.54	8.25	8.24	19045.44	-0.2	-2.37	8.25	8.25	8.25	19045.44	19045.44	19045.44	2.27
2012/8/14	8.21	8.34	8.23	7.96	16908.54	-0.02	-0.24	8.24	8.24	8.24	17976.99	17976.99	17976.99	2.02
2012/8/15	8.15	8.25	8.13	8.1	10861.46	-0.1	-1.22	8.203	8.203	8.203	15605.15	15605.15	15605.15	1.29
2012/8/16	8.15	8.16	8	7.98	13091.09	-0.13	-1.6	8.153	8.153	8.153	14976.63	14976.63	14976.63	1.56
2012/8/17	8	8.06	8.04	7.85	11909.64	0.04	0.5	8.13	8.13	8.13	14363.23	14363.23	14363.23	1.42
2012/8/20	8.03	8.15	8.14	7.9	10935.52	0.1	1.24	8.108	8.132	8.132	12741.25	13791.95	13791.95	1.3
2012/8/21	8.18	8.32	8.3	8.1	18182.34	0.16	1.97	8.122	8.156	8.156	12996.01	14419.15	14419.15	2.17
2012/8/22	8.26	8.36	8.2	8.15	17892.93	-0.1	-1.21	8.136	8.161	8.161	14402.3	14853.37	14853.37	2.13
2012/8/23	8.2	8.45	8.4	8.2	21284.17	0.2	2.44	8.216	8.188	8.188	16040.92	15567.9	15567.9	2.54
2012/8/24	8.4	8.42	8.1	8.1	14589.24	-0.3	-3.57	8.228	8.179	8.179	16576.84	15470.04	15470.04	1.74
2012/8/27	8.04	8.05	7.89	7.82	12753.61	-0.21	-2.59	8.178	8.143	8.153	16940.46	14840.85	15223.09	1.52
2012/8/28	7.89	8.07	8.01	7.83	9509.18	0.12	1.52	8.12	8.121	8.141	15205.83	14100.92	14746.93	1.13
2012/8/29	8.02	8.18	8	7.98	11700.67	-0.01	-0.12	8.08	8.108	8.13	13967.37	14184.84	14512.6	1.4
2012/8/30	8	8.07	7.86	7.82	13698.1	-0.14	-1.75	7.972	8.094	8.111	12450.16	14245.54	14454.42	1.63
2012/8/31	7.86	7.98	7.94	7.85	6879.99	0.08	1.02	7.94	8.084	8.099	10908.31	13742.58	13949.46	0.82
2012/9/3	7.9	8.07	8.04	7.88	6797.03	0.1	1.26	7.97	8.074	8.096	9716.99	13328.73	13502.43	0.81
2012/9/4	8.05	8.13	8.08	8	11141.28	0.04	0.5	7.984	8.052	8.095	10043.41	12624.62	13363.54	1.33
2012/9/5	8.09	8.18	8.1	8.03	9078.5	0.02	0.25	8.004	8.042	8.095	9518.98	11743.18	13125.49	1.08
2012/9/6	8.08	8.21	8.19	8.07	15568.92	0.09	1.11	8.07	8.021	8.1	9893.14	11171.65	13254.09	1.86
2012/9/7	8.25	8.5	8.38	8.18	31661.33	0.19	2.32	8.158	8.049	8.114	14849.41	12878.86	14174.45	3.77
2012/9/10	8.37	8.64	8.53	8.32	29298.69	0.15	1.79	8.256	8.113	8.128	19349.74	14533.37	14687.11	3.49
2012/9/11	8.58	8.95	8.85	8.41	51218.72	0.32	3.75	8.41	8.197	8.159	27365.23	18704.32	16402.62	6.11
2012/9/12	8.83	8.97	8.87	8.68	44325.81	0.02	0.23	8.564	8.284	8.196	34414.69	21966.84	18075.84	5.28
2012/9/13	8.73	8.75	8.52	8.43	33278.59	-0.35	-3.95	8.63	8.35	8.222	37956.63	23924.89	19085.21	3.97
2012/9/14	8.53	8.6	8.52	8.42	17800.05	0	0	8.658	8.408	8.246	35184.37	25016.89	19379.73	2.12
2012/9/17	8.46	8.55	8.14	8.14	21913.69	-0.38	-4.46	8.58	8.418	8.246	33707.37	26528.56	19928.64	2.61
2012/9/18	8.14	8.28	8.19	8.08	9878	0.05	0.61	8.448	8.429	8.241	25439.23	26402.23	19513.43	1.18
2012/9/19	8.22	8.38	8.32	8.19	10455.36	0.13	1.59	8.338	8.451	8.247	18665.14	26539.92	19141.55	1.25
2012/9/20	8.35	8.35	8.06	8.05	12308.71	-0.26	-3.12	8.246	8.438	8.23	14471.16	26213.9	18692.77	1.47
2012/9/21	8.06	8.15	8.12	8.03	7015.79	0.06	0.74	8.166	8.412	8.231	12314.31	23749.34	18314.1	0.84
2012/9/24	8.08	8.24	8.23	8.08	8741.2	0.11	1.35	8.184	8.382	8.248	9679.81	21693.59	18113.48	1.04
2012/9/25	8.23	8.25	8.13	8.06	6375.5	-0.1	-1.22	8.172	8.31	8.254	8979.31	17209.27	17956.8	0.76
