Date	Open	High	Low	Close	Volume	Adj Close
2012/8/13	4.95	5.12	4.8	4.8	393	-0.14
2012/8/14	4.77	4.98	4.77	4.97	699.19	0.17
2012/8/15	4.99	4.99	4.83	4.93	1024	-0.04
2012/8/16	4.98	4.99	4.91	4.99	305.3	0.06
2012/8/17	5.03	5.03	4.93	5.03	284	0.04
2012/8/20	5.5	5.53	5.1	5.29	1570.08	0.26
2012/8/21	5.3	5.3	5.19	5.29	2602.61	0
2012/8/22	5.3	5.38	5.26	5.29	1321.19	0
2012/8/23	5.31	5.39	5.28	5.38	1247	0.09
2012/8/24	5.38	5.47	5.36	5.36	2117	-0.02
2012/8/27	5.27	5.32	5.12	5.18	823.99	-0.18
2012/8/28	5.29	5.48	5.15	5.29	1261.99	0.11
2012/8/29	5.18	5.3	5.18	5.29	842.37	0
2012/8/30	5.2	5.33	5.16	5.3	1365	0.01
2012/8/31	5.21	5.29	5.19	5.27	379	-0.03
2012/9/3	5.27	5.3	5.02	5.28	1059	0.01
2012/9/4	5.26	5.34	5.26	5.26	2108.17	-0.02
2012/9/5	5.23	5.28	5.13	5.26	476.99	0
2012/9/6	5.3	5.3	5.22	5.3	254.5	0.04
2012/9/7	5.31	5.6	5.25	5.5	4434.68	0.2
2012/9/10	5.42	5.59	5.42	5.57	2742.49	0.07
2012/9/11	5.6	5.6	5.51	5.56	1954	-0.01
2012/9/12	5.63	5.65	5.5	5.57	1030.3	0.01
2012/9/13	5.53	5.55	5.4	5.4	1009	-0.17
2012/9/14	5.41	5.52	5.41	5.42	1163.79	0.02
2012/9/17	5.42	5.5	5.32	5.32	810	-0.1
2012/9/18	5.35	5.38	5.3	5.3	554	-0.02
2012/9/19	5.28	5.33	5.22	5.33	833	0.03
2012/9/20	5.25	5.29	5.16	5.16	716	-0.17
2012/9/21	5.14	5.26	5.14	5.22	228.7	0.06
2012/9/24	5.06	5.21	5.06	5.19	308	-0.03
2012/9/25	5.18	5.18	5.06	5.13	400	-0.06
2012/9/26	5.05	5.06	4.95	4.95	848.8	-0.18
2012/9/27	4.91	5.16	4.87	5.14	881.8	0.19
2012/9/28	5.05	5.18	5.05	5.16	668	0.02
2012/10/8	5.1	5.19	5.1	5.15	379	-0.01
2012/10/9	5.13	5.27	5.13	5.25	873	0.1
2012/10/10	5.2	5.29	5.2	5.28	911.1	0.03
2012/10/11	5.29	5.38	5.26	5.26	595.5	-0.02
2012/10/12	5.3	5.3	5.22	5.27	735	0.01
2012/10/15	5.38	5.38	5.23	5.3	375	0.03
2012/10/16	5.26	5.33	5.25	5.32	505	0.02
2012/10/17	5.34	5.34	5.24	5.32	1016	0
2012/10/18	5.26	5.34	5.26	5.33	1486	0.01
2012/10/19	5.27	5.33	5.25	5.29	1298	-0.04
2012/10/22	5.23	5.47	5.22	5.42	3739.3	0.13
2012/10/23	5.41	5.42	5.32	5.36	1875.72	-0.06
2012/10/24	5.3	5.36	5.24	5.31	1437	-0.05
2012/10/25	5.31	5.37	5.25	5.28	4616	-0.03
2012/10/26	5.24	5.26	5.18	5.24	1964.88	-0.04
2012/10/29	5.08	5.24	5.08	5.2	582	-0.04
2012/10/30	5.14	5.27	5.14	5.2	1940	0
2012/10/31	5.27	5.27	5.22	5.22	463	0.02
2012/11/1	5.24	5.38	5.24	5.34	2127	0.12
2012/11/2	5.35	5.36	5.32	5.36	2572.5	0.02
2012/11/5	5.35	5.36	5.3	5.3	763	-0.06
2012/11/6	5.27	5.29	5.27	5.27	571	-0.03
2012/11/7	5.28	5.31	5.27	5.28	323	0.01
2012/11/8	5.19	5.28	5.19	5.2	391.25	-0.08
2012/11/9	5.28	5.32	5.22	5.26	786	0.06
2012/11/12	5.26	5.27	5.24	5.25	321	-0.01
2012/11/13	5.21	5.24	5.19	5.23	702	-0.02
2012/11/14	5.21	5.22	5.19	5.2	474	-0.03
2012/11/15	5.19	5.24	5.15	5.15	862	-0.05
