,amount,bought_amount,close,high,low,open,sold_amount,volume,datetime,instrument_id,exchange_id
0,572108102.0,320157621.5,11.16,11.37,10.6,10.76,251950480.5,51597044.0,2010-01-04,600288,SH
1,549279336.0,287047250.5,11.27,11.64,10.86,11.06,262232085.5,48822966.0,2010-01-05,600288,SH
2,461521697.0,215408736.0,11.01,11.48,11.0,11.21,246112961.0,41360139.0,2010-01-06,600288,SH
3,426952029.0,205911955.0,10.51,11.0,10.33,10.91,221040074.0,40133779.0,2010-01-07,600288,SH
4,426256268.0,244324986.0,10.9,10.99,10.38,10.4,181931282.0,39751990.0,2010-01-08,600288,SH
5,595521757.0,305073501.0,10.89,11.77,10.86,11.52,290448256.0,53021415.0,2010-01-11,600288,SH
6,325144198.0,154387809.5,10.61,10.76,10.35,10.61,170756388.5,30805093.0,2010-01-12,600288,SH
7,271601606.0,140177548.0,10.51,10.91,10.29,10.36,131424058.0,25519994.0,2010-01-13,600288,SH
8,295027871.0,155247962.0,10.81,10.95,10.5,10.5,139779909.0,27492613.0,2010-01-14,600288,SH
9,264978332.0,134077741.0,10.87,11.2,10.8,10.81,130900591.0,24154718.0,2010-01-15,600288,SH
10,252486178.0,117790283.5,10.71,10.83,10.45,10.68,134695894.5,23846857.0,2010-01-18,600288,SH
11,479261580.0,266274337.0,11.19,11.45,10.68,10.7,212987243.0,42914674.0,2010-01-19,600288,SH
12,329432922.0,152208367.5,10.52,11.25,10.45,11.2,177224554.5,30581672.0,2010-01-20,600288,SH
13,147670342.0,68627687.0,10.53,10.68,10.38,10.48,79042655.0,14043349.0,2010-01-21,600288,SH
14,247014098.0,113655408.0,9.97,10.38,9.48,10.38,133358690.0,24922590.0,2010-01-22,600288,SH
15,109966674.0,53905027.0,9.64,9.95,9.57,9.78,56061647.0,11294278.0,2010-01-25,600288,SH
16,124939526.0,56722451.0,9.29,9.87,9.15,9.7,68217075.0,13260717.0,2010-01-26,600288,SH
17,105785717.0,47132802.0,9.08,9.4,8.94,9.29,58652915.0,11567119.0,2010-01-27,600288,SH
18,115056184.0,63850795.0,9.34,9.36,8.95,9.12,51205389.0,12556100.0,2010-01-28,600288,SH
19,138674532.0,68529684.0,9.44,9.61,9.18,9.22,70144848.0,14709935.0,2010-01-29,600288,SH
20,214967161.0,105011348.0,9.48,10.1,8.88,9.34,109955813.0,22848159.0,2010-02-01,600288,SH
21,110311848.0,46226590.5,9.33,9.65,9.3,9.35,64085257.5,11664284.0,2010-02-02,600288,SH
22,233174365.0,131651711.0,9.74,9.8,9.0,9.34,101522654.0,24460904.0,2010-02-03,600288,SH
23,179277126.0,86618139.0,9.67,9.92,9.4,9.55,92658987.0,18500211.0,2010-02-04,600288,SH
24,221379568.0,108868081.5,9.85,9.9,9.3,9.41,112511486.5,23045235.0,2010-02-05,600288,SH
25,352578768.0,203125831.0,10.48,10.78,9.7,9.7,149452937.0,34287242.0,2010-02-08,600288,SH
26,355308607.0,202464098.5,10.55,10.94,10.26,10.33,152844508.5,33550916.0,2010-02-09,600288,SH
27,214926920.0,104659271.0,10.59,10.86,10.41,10.5,110267649.0,20247148.0,2010-02-10,600288,SH
28,159529524.0,78323615.0,10.41,10.69,10.31,10.5,81205909.0,15209782.0,2010-02-11,600288,SH
29,193022917.0,99937936.0,10.62,10.91,10.33,10.4,93084981.0,18147652.0,2010-02-12,600288,SH
30,253248331.0,121629501.0,10.22,10.89,10.18,10.76,131618830.0,24305380.0,2010-02-22,600288,SH
31,221159326.0,101560812.0,9.66,10.05,9.36,10.05,119598514.0,23019957.0,2010-02-23,600288,SH
32,154028706.0,79258355.0,9.76,9.81,9.45,9.51,74770351.0,15892660.0,2010-02-24,600288,SH
33,167676676.0,83963807.5,9.97,10.0,9.73,9.75,83712868.5,16977588.0,2010-02-25,600288,SH
34,146755846.0,64344761.5,9.77,10.08,9.72,9.95,82411084.5,14842609.0,2010-02-26,600288,SH
35,484326248.0,262945430.0,10.75,10.75,9.66,9.7,221380818.0,46417690.0,2010-03-01,600288,SH
36,490287527.0,243244740.0,10.8,10.95,10.52,10.82,247042787.0,45661332.0,2010-03-02,600288,SH
37,365115002.0,185367774.0,10.87,11.13,10.6,10.84,179747228.0,33526056.0,2010-03-03,600288,SH
38,648340582.0,349543997.0,11.07,11.66,10.62,10.8,298796585.0,58217524.0,2010-03-04,600288,SH
39,655127870.0,341697439.5,11.13,11.57,10.7,11.15,313430430.5,58545033.0,2010-03-05,600288,SH
40,283182771.0,130875868.0,10.97,11.22,10.8,10.85,152306903.0,25871958.0,2010-03-08,600288,SH
41,223687642.0,108343582.5,10.7,11.09,10.66,10.85,115344059.5,20697479.0,2010-03-09,600288,SH
42,216180357.0,100439307.0,10.38,10.91,10.2,10.65,115741050.0,20584528.0,2010-03-10,600288,SH
43,202595913.0,96983801.5,10.51,10.69,10.02,10.39,105612111.5,19519544.0,2010-03-11,600288,SH
44,112706866.0,51923276.0,10.18,10.51,10.15,10.51,60783590.0,10955308.0,2010-03-12,600288,SH
45,103393139.0,55579950.0,10.24,10.45,10.03,10.1,47813189.0,10088092.0,2010-03-15,600288,SH
46,142670203.0,84277161.0,10.52,10.54,10.15,10.28,58393042.0,13754459.0,2010-03-16,600288,SH
47,224395540.0,120620229.5,10.83,10.89,10.41,10.51,103775310.5,21017751.0,2010-03-17,600288,SH
48,289649791.0,149883901.0,10.86,11.24,10.73,10.8,139765890.0,26429475.0,2010-03-18,600288,SH
49,169756304.0,82594327.0,10.91,11.0,10.7,10.92,87161977.0,15613136.0,2010-03-19,600288,SH
50,177739563.0,84132834.0,10.92,11.08,10.69,11.0,93606729.0,16342399.0,2010-03-22,600288,SH
51,151330023.0,62547685.0,10.6,10.95,10.59,10.89,88782338.0,14117423.0,2010-03-23,600288,SH
52,207031374.0,116468841.0,10.9,10.97,10.54,10.58,90562533.0,19213117.0,2010-03-24,600288,SH
53,407726927.0,229331086.0,11.08,11.31,10.7,10.78,178395841.0,36873978.0,2010-03-25,600288,SH
54,238002604.0,125058970.5,11.07,11.27,10.8,10.93,112943633.5,21589233.0,2010-03-26,600288,SH
55,275847793.0,129807886.0,11.06,11.38,10.91,11.12,146039907.0,24817371.0,2010-03-29,600288,SH
56,200767922.0,94595321.0,10.91,11.06,10.7,11.06,106172601.0,18526715.0,2010-03-30,600288,SH
57,156636086.0,74285969.0,10.85,11.0,10.75,10.85,82350117.0,14451263.0,2010-03-31,600288,SH
58,220371737.0,99140033.0,10.89,10.94,10.7,10.82,121231704.0,20346034.0,2010-04-01,600288,SH
59,215670386.0,109940948.0,10.97,11.1,10.75,10.88,105729438.0,19705629.0,2010-04-02,600288,SH
60,156661490.0,75788244.5,10.95,11.07,10.88,11.0,80873245.5,14298236.0,2010-04-06,600288,SH
61,158193100.0,71792785.5,10.82,11.04,10.76,10.92,86400314.5,14526369.0,2010-04-07,600288,SH
62,146457104.0,76606060.0,10.85,10.97,10.76,10.81,69851044.0,13492145.0,2010-04-08,600288,SH
63,388257611.0,219846061.0,11.28,11.47,10.75,10.85,168411550.0,34842250.0,2010-04-09,600288,SH
64,552517525.0,314914548.0,11.75,11.85,11.2,11.34,237602977.0,47971877.0,2010-04-12,600288,SH
65,521743449.0,260964227.5,11.41,12.15,10.84,12.05,260779221.5,44859301.0,2010-04-13,600288,SH
